area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,"123,730",1.0,,,,24.28,"50,490",0.5,13.87,17.66,22.96,29.43,37.31,"28,850","36,740","47,760","61,220","77,600",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8090,Miscellaneous Plant and System Operators,broad,"96,580",2.6,,,,32.77,"68,170",0.6,19.59,25.35,32.64,40.20,47.11,"40,740","52,730","67,890","83,610","97,980",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8091,Chemical Plant and System Operators,detailed,"28,840",4.9,,,,30.15,"62,710",1.2,16.98,22.40,30.07,37.67,44.83,"35,330","46,600","62,550","78,360","93,250",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8092,Gas Plant Operators,detailed,"14,410",4.5,,,,34.16,"71,050",0.9,21.19,27.31,34.00,39.97,48.71,"44,080","56,800","70,710","83,130","101,320",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,"40,370",4.5,,,,35.49,"73,830",1.1,22.78,28.06,35.66,43.30,48.11,"47,380","58,370","74,180","90,060","100,070",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-8099,"Plant and System Operators, All Other",detailed,"12,950",4.3,,,,28.61,"59,500",1.0,16.51,21.50,28.07,34.42,40.60,"34,350","44,720","58,390","71,600","84,460",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9000,Other Production Occupations,minor,"2,669,650",0.5,,,,18.64,"38,770",0.2,11.15,13.37,17.11,22.50,28.89,"23,200","27,800","35,580","46,800","60,090",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,"138,290",2.0,,,,23.68,"49,250",0.7,13.49,16.87,22.22,29.51,36.81,"28,050","35,080","46,220","61,380","76,560",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9011,Chemical Equipment Operators and Tenders,detailed,"87,120",2.8,,,,24.78,"51,540",0.8,14.04,17.77,23.62,30.80,37.81,"29,210","36,960","49,130","64,070","78,650",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,"51,160",2.6,,,,21.81,"45,370",1.0,12.84,15.80,19.87,26.54,34.04,"26,710","32,870","41,330","55,190","70,800",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,"187,870",1.6,,,,18.63,"38,740",0.4,11.83,14.08,17.62,22.37,27.51,"24,600","29,290","36,640","46,520","57,230",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,"33,360",2.8,,,,18.88,"39,270",0.7,12.01,14.45,18.06,22.72,27.42,"24,990","30,050","37,560","47,260","57,030",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9022,"Grinding and Polishing Workers, Hand",detailed,"29,170",3.7,,,,15.90,"33,060",0.8,10.77,12.33,14.71,18.32,23.22,"22,400","25,660","30,600","38,110","48,290",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,"125,340",2.2,,,,19.19,"39,920",0.4,12.23,14.67,18.17,22.95,28.21,"25,440","30,510","37,780","47,740","58,680",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-9030,Cutting Workers,broad,"67,620",2.2,,,,17.37,"36,120",0.5,11.49,13.55,16.74,20.68,24.61,"23,890","28,180","34,810","43,000","51,190",,
